Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,Unnamed: 7,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins,Year
69,76,0,1,0.258,0.921,1.179,0.0,3,3,1,3,1,2010
69,76,1,1,0.001,0.005,0.006,0.0,3,3,1,1,1,2010
69,76,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
69,76,3,0,0.006,0.0,0.006,0.0,3,3,1,3,1,2010
70,256,0,1,0.354,0.251,0.605,0.0,3,3,1,3,1,2010
70,256,1,1,0.002,0.002,0.003,0.0,3,3,1,1,1,2010
70,256,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
70,256,3,0,0.007,0.0,0.007,0.0,3,3,1,3,1,2010
71,52,0,1,0.119,1.901,2.02,0.0,3,3,1,3,1,2010
71,52,1,1,0.001,0.009,0.01,0.0,3,3,1,1,1,2010
71,52,2,1,0.0,0.0,0.0,0.0,4,3,1,3,1,2010
71,52,3,0,0.002,0.0,0.002,0.0,3,3,1,3,1,2010
72,177,0,1,0.11,0.82,0.93,0.0,3,3,1,4,1,2010
72,177,1,1,0.004,0.004,0.008,0.0,4,3,1,1,1,2010
72,177,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
72,177,3,0,0.003,0.0,0.003,0.0,3,3,1,3,1,2010
73,185,0,1,0.225,0.047,0.272,0.0,3,3,1,3,1,2010
73,185,1,1,0.001,0.0,0.001,0.0,4,3,1,1,1,2010
73,185,2,1,0.0,0.0,0.0,0.0,3,3,1,3,1,2010
73,185,3,0,0.005,0.0,0.005,0.0,3,3,1,3,1,2010
74,283,0,1,0.341,0.061,0.401,0.0,3,3,1,3,1,2010
74,283,1,1,0.001,0.001,0.002,0.0,4,3,1,1,1,2010
74,283,2,1,0.0,0.0,0.0,0.0,3,3,1,3,1,2010
74,283,3,0,0.005,0.0,0.005,0.0,3,3,1,3,1,2010
75,392,0,1,0.23,0.075,0.304,0.0,3,3,1,3,1,2010
75,392,1,1,0.001,0.0,0.001,0.0,3,3,1,1,1,2010
75,392,2,1,0.0,0.0,0.0,0.0,3,3,1,3,1,2010
75,392,3,0,0.015,0.0,0.015,0.0,4,3,1,4,1,2010
76,376,0,1,0.271,0.089,0.359,0.0,3,3,1,3,1,2010
76,376,1,1,0.001,0.001,0.002,0.0,4,3,1,1,1,2010
76,376,2,1,0.0,0.0,0.0,0.0,3,3,1,3,1,2010
76,376,3,0,0.015,0.0,0.015,0.0,4,3,1,4,1,2010
77,391,0,1,0.766,0.07,0.836,0.0,3,3,1,4,1,2010
77,391,1,1,0.003,0.001,0.004,0.0,4,3,1,1,1,2010
77,391,2,1,0.0,0.0,0.0,0.0,4,3,1,3,1,2010
77,391,3,0,0.006,0.0,0.006,0.0,3,3,1,2,1,2010
